State,Price ($/MJ)
AK,0.00596266371009128
AL,0.0041364267391598005
AR,0.008628969687651238
AZ,0.006337042289132233
CA,0.012847577090502956
CO,0.0077523759416041295
CT,0.007925868453842619
DC,0.003791267951653751
DE,0.012518854435735291
FL,0.0065470595407893534
GA,0.004894315082096365
HI,0.026005614466064263
IA,0.006446616507388122
ID,0.0060722379283471685
IL,0.00683925745613839
IN,0.006218336886021686
KS,0.005076938779189512
KY,0.004099901999741171
LA,0.0035155061690430975
MA,0.012126213486985022
MD,0.012162738226403652
ME,0.009542088173116978
MI,0.007761507126458787
MN,0.00564307224017827
MO,0.008756806275616444
MS,0.005076938779189512
MT,0.007195373665470028
NC,0.006127025037475113
ND,0.0030041598171822834
NE,0.0055791539461956694
NH,0.012107951117275707
NJ,0.008409821251139463
NM,0.004611248351601985
NV,0.010720011019367783
NY,0.009496432248843693
OH,0.007067537077504825
OK,0.0030315533717462555
OR,0.007286685514016603
PA,0.010747404573931755
RI,0.011651391874542838
SC,0.004711691385003216
SD,0.005606547500759641
TN,0.005031282854916225
TX,0.0022554026591003772
UT,0.009122053669802739
VA,0.004611248351601985
VT,0.005195644182300059
WA,0.010391288364600118
WI,0.006263992810294974
WV,0.0038807535632293935
WY,0.00596266371009128
